graph_idx,is_complement,base_idx,tau,best_mask_hex,degree_new_vertex,time_s
159,false,80,39,30ccfd5343,20,1.6
160,true,80,39,3cf33015c7c,22,1.6
161,false,81,37,cccfd5343,20,1.6
162,true,81,37,3f333015c7c,22,1.6
163,false,82,23,1d43c7406f,19,1.7
164,true,82,23,3e2bc38bf90,23,1.7
165,false,83,22,763c6486f,19,1.8
166,true,83,22,3f89c38bf90,23,1.8
167,false,84,23,1761c6886f,19,1.7
168,true,84,23,3e89e397790,23,1.7
169,false,85,22,5f1c6886f,19,1.8
170,true,85,22,3fa0e393f90,23,1.8
171,false,86,40,4393ed5983,20,1.5
172,true,86,40,3bc6c12a67c,22,1.5
173,false,87,43,a333cd5983,20,1.5
174,true,87,43,35ccc32a67c,22,1.5
175,false,88,25,35787f049,18,1.7
176,true,88,25,3fca8780fb6,24,1.7
177,false,89,17,173c7e849,18,1.8
178,true,89,17,3fe8c3817b6,24,1.8
179,false,90,28,14a7733493,19,1.6
180,true,90,28,3eb588ccf6c,24,1.6
181,false,91,16,173c7f029,18,1.8
182,true,91,16,3fe8c380fd6,24,1.9
183,false,92,17,8adb9e429,18,1.8
184,true,92,17,3f752461bd6,24,1.8
185,false,93,34,333f04f033,19,1.6
186,true,93,34,3ccc0fb0fcc,23,1.6
187,false,94,25,333f0f033,18,1.7
188,true,94,25,3fccc0f0fcc,24,1.7
189,false,95,24,333f0f033,18,1.8
190,true,95,24,3fccc0f0fcc,24,1.8
191,false,96,32,ccfc0f833,19,1.6
192,true,96,32,3f3303f0bcc,23,1.6
193,false,97,21,3d34da22f,19,1.8
194,true,97,21,3fc2cb25dd0,23,1.8
195,false,98,13,1e9ada22f,19,1.9
196,true,98,13,3fe16525dc2,23,1.9
197,false,99,29,6e5e4926b,19,1.7
198,true,99,29,3f91a1b6994,22,1.7
199,false,100,29,cb5ca946b,19,1.8
200,true,100,29,3f34a254bb4,22,1.7
201,false,101,30,2f9df9449,20,1.7
202,true,101,30,3fd06206fb6,23,1.7
203,false,102,31,3abbe6246,19,1.6
204,true,102,31,3fc544395b9,23,1.6
205,false,103,31,4f5bf3049,19,1.7
206,true,103,31,3fb0a60cbb6,23,1.6
207,false,104,31,8f5de6946,20,1.6
208,true,104,31,3f70a219eb9,23,1.6
209,false,105,33,ae73f2249,19,1.5
210,true,105,33,3f518e0dd36,23,1.6
211,false,106,30,3b9be60c6,19,1.7
212,true,106,30,3fc46419f39,23,1.7
213,false,107,25,d5a65a22f,19,1.8
214,true,107,25,3f2a59a5dd0,23,1.8
215,false,108,14,356b5a22f,19,1.9
216,true,108,14,3fca94a5dd0,23,1.9
217,false,109,14,3c5b5a12f,19,1.9
218,true,109,14,3fc3a4a5ec2,23,2.0
219,false,110,14,6935b912f,19,1.9
220,true,110,14,3f96ca46ed0,23,1.9
221,false,111,22,b9565a12f,19,1.8
222,true,111,22,3f46a9a5ec4,23,1.8
223,false,112,27,2e54c9a12f,19,1.7
224,true,112,27,3d1ab365ed0,23,1.7
225,false,113,16,b9569a12f,19,1.9
226,true,113,16,3f46a965ed0,23,1.9
227,false,114,41,4eab0399db,21,1.6
228,true,114,41,3b154fc6634,22,1.6
229,false,115,41,2f558199cb,20,1.6
230,true,115,41,3d0aa7e6634,22,1.5
231,false,116,38,176ac19acb,20,1.6
232,true,116,38,3e8953e6534,22,1.6
233,false,117,35,7b5e4c34b,20,1.6
234,true,117,35,3f84a1b3cb4,22,1.6
235,false,118,29,9dae4934f,20,1.8
236,true,118,29,3f6251b6c94,22,1.8
237,false,119,27,740c66553b,19,1.7
238,true,119,27,38bf399aac4,23,1.7
239,false,120,24,4ebd2d21b,19,1.8
240,true,120,24,3fb142d2de4,23,1.8
241,false,121,24,575a9c61b,19,1.7
242,true,121,24,3fa8a5639e4,23,1.7
243,false,122,13,114bd8b41b,18,1.8
244,true,122,13,3eeb4274be4,24,1.8
245,false,123,23,ae93ce11f,20,1.7
246,true,123,23,3f516c33ea0,22,1.7
247,false,124,35,2ba43ce11f,20,1.6
248,true,124,35,3d45bc39ee0,23,1.6
249,false,125,32,2ba23c611f,19,1.7
250,true,125,32,3d45dc39ea0,22,1.7
251,false,126,31,bd23cc11f,19,1.6
252,true,126,31,3f42dc33ee0,23,1.6
253,false,127,47,f033d98d3c,21,1.5
254,true,127,47,30fcc2672c3,21,1.5
255,false,128,45,f00cf0ce3c,19,1.5
256,true,128,45,30ff30d31c3,22,1.5
257,false,129,37,cc03f98d3c,20,1.6
258,true,129,37,333fc09b1c3,22,1.6
259,false,130,35,3303f64e3c,20,1.6
260,true,130,35,3ccfc09b143,21,1.6
261,false,131,41,ca25b59933,20,1.5
262,true,131,41,335da4a66cc,22,1.5
263,false,132,38,6292f59933,20,1.6
264,true,132,38,39d6d0a66cc,22,1.6
265,false,133,30,ccef0e623,19,1.6
266,true,133,30,3f3311f11dc,23,1.6
267,false,134,24,6a765f015,18,1.8
268,true,134,24,3f9589a0fea,24,1.8
269,false,135,24,93755f015,18,1.7
270,true,135,24,3f6c8aa0fea,24,1.8
271,false,136,17,157b3e22a,18,1.9
272,true,136,17,3fea84c1dd5,24,1.9
273,false,137,30,b5e07e415,18,1.6
274,true,137,30,3f4a1f81bea,24,1.6
275,false,138,19,2d787e415,18,1.7
276,true,138,19,3fd28781bea,24,1.7
277,false,139,25,96bc3e415,18,1.7
278,true,139,25,3f6943c1bea,24,1.7
279,false,140,30,25af03e415,18,1.6
280,true,140,30,3da50fc1bea,24,1.6
281,false,141,19,96bc3e415,18,1.8
282,true,141,19,3f6943c1bea,24,1.8
283,false,142,28,5af07e825,18,1.7
284,true,142,28,3fa50f817da,24,1.7
285,false,143,28,ad783e825,18,1.7
286,true,143,28,3f5287c17da,24,1.7
287,false,144,17,2b5e3e825,18,1.8
288,true,144,17,3fd4a1c17da,24,1.8
289,false,145,25,c3fc700f3,19,1.7
